"","Estimate","Std..Error","t.value","p.z","R2m","R2c","element","herbivore"
"month",0.0363233734993867,0.0318515149172156,1.14039704528321,0.254120923309394,0.031638961137751,0.732389756378788,"C","trtpd"
"month29",0.0266444489024498,0.0376593996704515,0.707511249133261,0.479248824531685,0.0435258490058576,0.0435258490058576,"Mg","trtpd"
"month28",0.0532091054571765,0.0402514692484424,1.32191709894504,0.186195757913061,0.137083321400793,0.137083321400793,"Na","trtpd"
"month27",0.0532091054571765,0.0402514692484424,1.32191709894504,0.186195757913061,0.137083321400793,0.137083321400793,"K","trtpd"
"month26",0.105484182223472,0.093901617939857,1.12334786703072,0.261289781759072,0.102913036066368,0.102913036066368,"P","trtpd"
"month25",0.0259719804640549,0.0248548847875041,1.0449447135282,0.296048522485763,0.0176166636462437,0.822528049976916,"N","trtpd"
"month24",0.0131825765210983,0.022833793407712,0.577327485000631,0.563718250072459,0.00173235239847262,0.942827858528359,"C","untrtpd"
"month23",-0.0153938293922579,0.0363724032721341,-0.423228272189854,0.672128721212971,0.016022919121091,0.016022919121091,"Mg","untrtpd"
"month22",0.0137760893428283,0.038954084527501,0.353649418537934,0.72360163396279,0.0110725428331723,0.0261453160535398,"Na","untrtpd"
"month21",0.0137760893428283,0.038954084527501,0.353649418537934,0.72360163396279,0.0110725428331723,0.0261453160535398,"K","untrtpd"
"month20",0.0645941884714901,0.0995683124155085,0.648742425219904,0.516504877282659,0.0354731977074258,0.07285336901468,"P","untrtpd"
"month19",0.0160297818662009,0.0207300996019589,0.773261208290872,0.439367808437197,0.00292180200584821,0.946248446496195,"N","untrtpd"
"month18",-0.00499048826405207,0.02310306682147,-0.216009774919334,0.82898012815103,0.00101071953536716,0.76172606542772,"C","ungrazed"
"month17",-0.0248838433736799,0.0352165251499781,-0.706595647006795,0.479817794840393,0.0288511438187387,0.3643562142279,"Mg","ungrazed"
"month16",0.0302202727366327,0.037229356565358,0.811732340406676,0.416945232950235,0.041082040598559,0.314166026840867,"Na","ungrazed"
"month15",0.0302202727366327,0.037229356565358,0.811732340406676,0.416945232950235,0.041082040598559,0.314166026840867,"K","ungrazed"
"month14",0.122744776446175,0.0921333101305358,1.33225188883661,0.182777430842048,0.138936177719416,0.138936177719416,"P","ungrazed"
"month13",-0.00892914394807592,0.0195803231994945,-0.456026382052081,0.648371007081355,0.00472381363784872,0.750134955074495,"N","ungrazed"
"month12",-0.062798594397034,0.0260102635581012,-2.41437747282936,0.0157621233813394,0.34637488087421,0.34637488087421,"C","cattle"
"month11",0.0703197104803562,0.0302083188095171,2.32782601785181,0.0199213439444519,0.186781920528337,0.620836532872803,"Mg","cattle"
"month10",0.00456334404722721,0.0452822832685987,0.100775484755463,0.919728688080405,0.000859015619331597,0.0695694665450486,"Na","cattle"
"month9",0.00456334404722721,0.0452822832685987,0.100775484755463,0.919728688080405,0.000859015619331597,0.0695694665450486,"K","cattle"
"month8",0.0432920585588775,0.0715365646237694,0.605173854609351,0.545063486026837,0.0322213452033831,0.0322213452033831,"P","cattle"
"month7",-0.0543657490286373,0.022099473980816,-2.46004719731478,0.0138918745547432,0.354908032017622,0.354908032017622,"N","cattle"
"month6",-0.029365925669973,0.0175894660150139,-1.66951774686662,0.0950148162705127,0.044578354075998,0.824072134026108,"C","bison"
"month5",0.0134659192012085,0.0284290804940776,0.473667067917083,0.635737340835452,0.0114206882243727,0.440063757304848,"Na","bison"
"month4",0.0134659192012085,0.0284290804940776,0.473667067917083,0.635737340835452,0.0114206882243727,0.440063757304848,"Mg","bison"
"month3",0.000525382989749805,0.0324002250967863,0.016215411719529,0.987062540306108,1.50170604927285e-05,0.371765684124799,"K","bison"
"month2",0.0566461235259342,0.0621758159841514,0.911063612584887,0.362261857417139,0.0451656382835281,0.401445866536773,"P","bison"
"month1",-0.0235662808830871,0.0136475321302128,-1.72677965937272,0.0842072428905456,0.0325703407975412,0.879845195960456,"N","bison"
